id_ocorrencia;local_ocorrencia;latitude_ocorrencia;longitude_ocorrencia;data_ocorrencia;hora_ocorrencia;presen_agen_segur_ocorrencia;qtd_morto_civil_ocorrencia;qtd_morto_agen_segur_ocorrencia;qtd_ferido_civil_ocorrencia;qtd_ferido_agen_segur_ocorrencia;estado_id;cidade_id;nome_cidade;cod_ibge_cidade;gentilico_cidade;populacao_cidade;area_cidade;densidade_demo_cidade;nome_estado;uf_estado;cod_ibge_estado;homem_qtd_mortos_oc;homem_qtd_feridos_oc;mulher_qtd_mortos_oc;mulher_qtd_feridos_oc;chacina_oc;chacina_qtd_mortos_oc;chacina_unidades_policiais_oc;ag_seguranca_vitima_oc;ag_seguranca_mortos_status_oc;ag_seguranca_feridos_status_oc;bala_perdida_oc;bala_perdida_qtd_mortos_oc;bala_perdida_qtd_feridos_oc;interior_residencia_oc;interior_residencia_qtd_mortos_oc;interior_residencia_qtd_feridos_oc;imediacao_ensino_oc;imediacao_ensino_qtd_mortos_oc;imediacao_ensino_qtd_feridos_oc;vitima_crianca_oc;vitima_crianca_qtd_mortos_oc;info_adicional_crianca_morta_oc;vitima_crianca_qtd_feridos_oc;info_adicional_crianca_ferida_oc;vitima_adolescente_oc;vitima_adolescente_qtd_mortos_oc;info_adicional_adolescente_morto_oc;vitima_adolescente_qtd_feridos_oc;info_adicional_adolescente_ferido_oc;vitima_idoso_oc;vitima_idoso_qtd_mortos_oc;info_adicional_idoso_morto_oc;vitima_idoso_qtd_feridos_oc;info_adicional_idoso_ferido_oc;informacao_transporte_oc;descricao_transporte_interrompido_oc;data_interrupcao_transporte_oc;data_liberacao_transporte_oc;informacao_via_oc;descricao_via_interrompida_oc;data_interrupcao_via_oc;data_liberacao_via_oc;outros_recortes;motivo_principal;motivo_complementar
32888;Morro Santa Marta - Botafogo, Rio de Janeiro - RJ, 22260-126, Brasil;-22.9466606;-43.194275;04/01/2020;7:01:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32889;Rodovia Presidente Dutra - Vigário Geral, Rio de Janeiro - RJ, Brasil;-22.8196808;-43.315413;04/01/2020;3:40:00;0;1;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Tentativa/Roubo de cargas;
32891;Para Pedro, Colégio, Rio de Janeiro - RJ, 21235-280, Brasil;-22.8385298;-43.3341193;03/01/2020;20:00:00;1;1;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;1;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Ação policial;
32892;Vila kennedy, Rio de Janeiro - RJ, 21850-430, Brasil;-22.8581095;-43.4875308;04/01/2020;8:38:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32894;Complexo do Chapadão - Costa Barros, Rio de Janeiro - RJ, 21755-470, Brasil;-22.8229118;-43.3767869;04/01/2020;10:39:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32898;Cidade de Deus, Rio de Janeiro - RJ, Brasil;-22.9465479;-43.3697197;04/01/2020;16:34:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32899;Favela do Rato Molhado, Engenho Novo, Rio de Janeiro - RJ, 20780-180, Brasil;-22.8972266;-43.2618392;04/01/2020;18:50:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32907;Praça Seca, Rio de Janeiro - RJ, Brasil;-22.8969198;-43.3516802;05/01/2020;6:57:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32908;Vila kennedy, Rio de Janeiro - RJ, 21850-430, Brasil;-22.8581095;-43.4875308;05/01/2020;7:30:00;0;0;0;0;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;;
32912;Morro da Mineira - Catumbi, Rio de Janeiro - RJ, 20211-295, Brasil;-22.9165218;-43.1974061;05/01/2020;15:40:00;1;0;0;1;0;19;3661;Rio de Janeiro;3304557;carioca;6320446;119746;5.27;Rio de Janeiro;RJ;33;;1;;;Não;;;Não;;;Não;;;Não;;;Não;;;Não;;;;;Não;;;;;Não;;;;;Não;;;;Não;;;;;Ação policial;
